date,nav,cash,positions_value,bench_nav
2026-01-12,1.0,100000.0,-99999.0,1.0
2026-01-13,1.0,99999.0,-99998.0,1.0
2026-01-14,0.97,99999.0,-99998.03,0.97
2026-01-15,0.97,99999.0,-99998.03,0.96
2026-01-16,0.98,99999.0,-99998.02,0.97
2026-01-19,0.96,99999.0,-99998.04,0.96
2026-01-20,0.97,99999.0,-99998.03,0.97
2026-01-21,0.94,99999.0,-99998.06,0.94
2026-01-22,0.96,99999.0,-99998.04,0.96
2026-01-23,0.99,99999.0,-99998.01,0.98
2026-01-26,1.01,99999.0,-99997.99,1.0
2026-01-27,0.98,99999.0,-99998.02,0.97
2026-01-28,0.99,99999.0,-99998.01,0.99
2026-01-29,0.98,99999.0,-99998.02,0.98
2026-01-30,0.98,99999.0,-99998.02,0.97
2026-02-02,0.98,99999.0,-99998.02,0.95
2026-02-03,0.97,99999.0,-99998.03,0.95
2026-02-04,0.99,99999.0,-99998.01,0.97
2026-02-05,0.96,99999.0,-99998.04,0.95
2026-02-06,0.94,99999.0,-99998.06,0.93
2026-02-09,0.97,99999.0,-99998.03,0.96
2026-02-10,0.98,99999.0,-99998.02,0.97
2026-02-11,0.97,99999.0,-99998.03,0.97
2026-02-12,0.97,99999.0,-99998.03,0.97
2026-02-13,0.97,99999.0,-99998.03,0.97
2026-02-24,0.98,99999.0,-99998.02,0.98
2026-02-25,0.98,99999.02,-99998.04,0.98
2026-02-26,0.99,99999.02,-99998.03,0.99
2026-02-27,0.99,99999.02,-99998.03,0.99
2026-03-02,0.99,99999.02,-99998.02,0.99
2026-03-03,1.01,99999.02,-99998.01,1.01
2026-03-04,0.94,99999.0,-99998.06,0.94
2026-03-05,0.97,99999.0,-99998.03,0.98
2026-03-06,0.97,99999.0,-99998.03,0.96
2026-03-09,0.95,99999.0,-99998.05,0.95
2026-03-10,0.98,99999.0,-99998.02,0.98
2026-03-11,1.0,99999.0,-99998.0,0.99
2026-03-12,1.0,99999.0,-99998.0,0.98
2026-03-13,0.98,99999.0,-99998.02,0.97
2026-03-16,0.97,99999.0,-99998.03,0.96
2026-03-17,0.98,99999.0,-99998.02,0.96
2026-03-18,0.95,99999.0,-99998.05,0.93
2026-03-19,0.95,99999.0,-99998.05,0.93
2026-03-20,0.96,99999.0,-99998.04,0.93
2026-03-23,0.92,99999.0,-99998.08,0.88
2026-03-24,0.91,99999.0,-99998.09,0.88
2026-03-25,0.93,99999.0,-99998.07,0.9
2026-03-26,0.94,99999.0,-99998.06,0.91
2026-03-27,0.9,99999.0,-99998.1,0.87
2026-03-30,0.92,99999.0,-99998.08,0.89
2026-03-31,0.93,99999.0,-99998.07,0.9
2026-04-01,0.92,99999.0,-99998.08,0.9
2026-04-02,0.92,99999.0,-99998.08,0.9
2026-04-03,0.91,99999.0,-99998.09,0.89
2026-04-07,0.89,99999.0,-99998.11,0.88
2026-04-08,0.92,99999.0,-99998.08,0.9
2026-04-09,0.94,99999.0,-99998.06,0.91
2026-04-10,0.95,99999.0,-99998.05,0.93
2026-04-13,0.95,99999.0,-99998.05,0.92
2026-04-14,0.97,99999.0,-99998.03,0.95
2026-04-15,0.98,99999.0,-99998.02,0.96
2026-04-16,0.97,99999.0,-99998.03,0.95
2026-04-17,0.99,99999.0,-99998.01,0.96
2026-04-20,1.0,99999.0,-99998.0,0.97
2026-04-21,1.01,99999.0,-99997.99,0.98
2026-04-22,1.0,99999.0,-99998.0,0.98
2026-04-23,1.02,99999.0,-99997.98,1.0
2026-04-24,1.0,99999.0,-99998.0,0.98
2026-04-27,1.0,99999.0,-99998.0,0.98
2026-04-28,1.01,99999.0,-99997.99,0.98
2026-04-29,1.0,99999.0,-99998.0,0.97
2026-04-30,1.02,99999.0,-99997.98,1.0
2026-05-06,1.05,99999.0,-99997.95,1.02
2026-05-07,1.08,99999.0,-99997.92,1.04
2026-05-08,1.07,99999.0,-99997.93,1.05
2026-05-11,1.09,99999.0,-99997.91,1.07
2026-05-12,1.1,99999.0,-99997.9,1.08
2026-05-13,1.08,99999.0,-99997.92,1.07
2026-05-14,1.12,99999.0,-99997.88,1.11
2026-05-15,1.09,99999.0,-99997.91,1.07
2026-05-18,1.06,99999.0,-99997.94,1.05
2026-05-19,1.08,99999.0,-99997.92,1.05
2026-05-20,1.09,99999.0,-99997.91,1.05
2026-05-21,1.13,99999.0,-99997.87,1.08
2026-05-22,1.08,99999.0,-99997.92,1.04
2026-05-25,1.13,99999.0,-99997.87,1.07
2026-05-26,1.12,99999.0,-99997.88,1.06
2026-05-27,1.11,99999.0,-99997.89,1.06
2026-05-28,1.1,99999.0,-99997.9,1.04
2026-05-29,1.15,99999.0,-99997.85,1.06
2026-06-01,1.1,99999.0,-99997.9,1.02
2026-06-02,1.07,99999.0,-99997.93,1.01
2026-06-03,1.1,99999.0,-99997.9,1.02
2026-06-04,1.1,99999.0,-99997.9,1.02
2026-06-05,1.13,99999.0,-99997.87,1.03
2026-06-08,1.07,99999.0,-99997.93,0.98
2026-06-09,1.1,99999.0,-99997.9,1.0
2026-06-10,1.13,99999.0,-99997.87,1.01
2026-06-11,1.11,99999.0,-99997.89,0.99
2026-06-12,1.15,99999.0,-99997.85,1.02
2026-06-15,1.13,99999.0,-99997.87,1.01
2026-06-16,1.19,99999.0,-99997.81,1.06
2026-06-17,1.21,99999.0,-99997.79,1.07
2026-06-18,1.25,99999.0,-99997.75,1.1
2026-06-22,1.29,99999.0,-99997.71,1.13
2026-06-23,1.3,99999.0,-99997.7,1.14
2026-06-24,1.24,99999.0,-99997.76,1.1
2026-06-25,1.29,99999.0,-99997.71,1.15
2026-06-26,1.3,99999.0,-99997.7,1.15
2026-06-29,1.28,99999.0,-99997.72,1.14
2026-06-30,1.25,99999.0,-99997.75,1.13
2026-07-01,1.29,99999.0,-99997.71,1.17
2026-07-02,1.23,99999.0,-99997.77,1.12
2026-07-03,1.21,99999.0,-99997.79,1.1
2026-07-06,1.21,99999.0,-99997.79,1.11
2026-07-07,1.14,99999.0,-99997.86,1.07
2026-07-08,1.13,99999.0,-99997.87,1.06
2026-07-09,1.11,99999.0,-99997.89,1.04
2026-07-10,1.15,99999.0,-99997.85,1.07
