date,account,strategy,rank,ticker,name,attention_rise,momentum_7d,float_ratio,attention_pct,momentum_pct,low_float_pct,score,status,error
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,1,300759,康龙化成,169.6969696969697,0.2626758259731763,0.7728975169423324,0.8333333333333334,0.9479166666666666,0.8229166666666666,0.865625,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,2,002038,双鹭药业,191.89189189189187,0.125214408233276,0.8292318255706429,0.8854166666666666,0.8020833333333334,0.7708333333333334,0.8375,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,3,001388,信通电子,136.75213675213675,0.30424710424710444,0.5352299841722064,0.6145833333333334,0.9791666666666666,0.9479166666666666,0.790625,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,4,601995,中金公司,216.10169491525423,0.004685777287761983,0.6056322503532455,0.9166666666666666,0.4791666666666667,0.9270833333333334,0.7875,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,5,002156,通富微电,220.00000000000003,0.11347309778624859,0.9999046584775866,0.9375,0.7708333333333334,0.3854166666666667,0.7770833333333333,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,6,600992,贵绳股份,216.66666666666666,0.22554660529344095,1.0,0.9270833333333334,0.9270833333333334,0.16666666666666666,0.775,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,7,688333,铂力特,229.01408450704227,0.17334732423924448,1.0,0.9479166666666666,0.8854166666666666,0.16666666666666666,0.7729166666666666,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,8,601869,长飞光纤,373.3333333333333,-0.06389225463696524,0.4908030039597243,0.9791666666666666,0.3020833333333333,0.9583333333333334,0.771875,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,9,688321,微芯生物,157.39247311827958,0.11401597676107489,0.920682182873596,0.78125,0.78125,0.71875,0.76875,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,10,601888,中国中免,171.875,0.069648813027271,0.9396855797404975,0.84375,0.6770833333333334,0.6875,0.7625,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,11,002412,汉森制药,149.86301369863014,0.1428571428571428,0.9893581081081081,0.7291666666666666,0.84375,0.59375,0.7364583333333333,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,12,603313,梦百合,185.41666666666669,0.15264797507788175,1.0,0.8645833333333334,0.875,0.16666666666666666,0.728125,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,13,002250,联化科技,167.2,0.08378016085790896,0.994557609997187,0.8229166666666666,0.7083333333333334,0.5104166666666666,0.7260416666666666,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,14,301584,建发致新,122.94832826747721,0.1889332003988038,0.1275000002433012,0.46875,0.8958333333333334,0.9895833333333334,0.7010416666666668,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,15,002185,华天科技,600.0,-0.05152758777929767,0.9997677518459326,1.0,0.3125,0.4166666666666667,0.6770833333333334,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,16,600183,生益科技,187.5,-0.025071300656629325,0.9857957703291572,0.875,0.3854166666666667,0.6041666666666666,0.6739583333333333,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,17,600186,莲花控股,374.19354838709677,-0.10630630630630633,0.9979772302972367,0.9895833333333334,0.23958333333333334,0.46875,0.6604166666666667,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,18,300059,东方财富,155.0,-0.023164120256283782,0.843959492453321,0.7604166666666666,0.4270833333333333,0.75,0.6583333333333333,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,19,301259,艾布鲁,155.4158607350097,-0.10301507537688448,0.6412882228116711,0.7708333333333334,0.25,0.9166666666666666,0.64375,ok,
2026-07-16,a_ths_attention_weighted,ths_attention_weighted,20,600155,华创云信,176.2778505897772,0.0423572744014733,1.0,0.8541666666666666,0.6041666666666666,0.16666666666666666,0.6416666666666666,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,1,601995,中金公司,216.10169491525423,0.004685777287761983,0.6056322503532455,0.9166666666666666,0.4791666666666667,0.9270833333333334,216.10169491525423,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,2,002038,双鹭药业,191.89189189189187,0.125214408233276,0.8292318255706429,0.8854166666666666,0.8020833333333334,0.7708333333333334,191.89189189189187,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,3,601888,中国中免,171.875,0.069648813027271,0.9396855797404975,0.84375,0.6770833333333334,0.6875,171.875,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,4,300759,康龙化成,169.6969696969697,0.2626758259731763,0.7728975169423324,0.8333333333333334,0.9479166666666666,0.8229166666666666,169.6969696969697,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,5,688321,微芯生物,157.39247311827958,0.11401597676107489,0.920682182873596,0.78125,0.78125,0.71875,157.39247311827958,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,6,002412,汉森制药,149.86301369863014,0.1428571428571428,0.9893581081081081,0.7291666666666666,0.84375,0.59375,149.86301369863014,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,7,001388,信通电子,136.75213675213675,0.30424710424710444,0.5352299841722064,0.6145833333333334,0.9791666666666666,0.9479166666666666,136.75213675213675,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,8,002536,飞龙股份,133.0275229357798,0.03072573044297844,0.9471371624906699,0.5833333333333334,0.5625,0.65625,133.0275229357798,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,9,603501,豪威集团,125.45454545454547,0.10446410617333601,0.9596493216541556,0.5,0.7604166666666666,0.625,125.45454545454547,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,10,301584,建发致新,122.94832826747721,0.1889332003988038,0.1275000002433012,0.46875,0.8958333333333334,0.9895833333333334,122.94832826747721,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,11,300164,通源石油,119.51219512195121,0.3025099075297224,0.9910820391759435,0.4166666666666667,0.96875,0.5520833333333334,119.51219512195121,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,12,300209,行云科技,116.90140845070422,0.047151277013752324,0.7910093258637668,0.3541666666666667,0.6145833333333334,0.8020833333333334,116.90140845070422,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,13,000759,中百集团,116.0919540229885,0.1307300509337861,0.989799341273986,0.3333333333333333,0.8125,0.5833333333333334,116.0919540229885,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,14,300937,药易购,115.78947368421053,0.25408163265306105,0.6780226996897415,0.3229166666666667,0.9375,0.90625,115.78947368421053,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,15,002582,好想你,114.96350364963503,0.08059023836549373,0.7688932558930484,0.3125,0.6979166666666666,0.8333333333333334,114.96350364963503,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,16,688192,迪哲医药,113.215859030837,0.38498160571304907,0.9915046427678152,0.28125,0.9895833333333334,0.5416666666666666,113.215859030837,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,17,002310,东方新能,107.6923076923077,0.051401869158878455,0.7332510850742172,0.20833333333333334,0.625,0.8854166666666666,107.6923076923077,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,18,002422,科伦药业,107.27272727272728,0.14423297408851177,0.8163428505876592,0.1875,0.8541666666666666,0.7916666666666666,107.27272727272728,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,19,002490,山东墨龙,107.2289156626506,0.19242902208201884,0.6789786129796087,0.17708333333333334,0.90625,0.8958333333333334,107.2289156626506,ok,
2026-07-16,a_ths_attention_funnel,ths_attention_funnel,20,601628,中国人寿,105.26315789473684,0.03593292520628166,0.7367326140499255,0.16666666666666666,0.5833333333333334,0.8645833333333334,105.26315789473684,ok,
